recipe_name,recipe_url,state_id,,
"Brussels Sprouts Salads with Apples\, Walnut and Parmesan",http://cooking.nytimes.com/recipes/1018362-garlicky-brussels-sprout-salad-with-apples-walnuts-and-parmesan,,,
Sauteed Shredded Brussels Sprouts,http://www.foodnetwork.com/recipes/ina-garten/sauteed-shredded-brussels-sprouts.html,,,
Roasted Brussels Sprouts,http://cooking.nytimes.com/recipes/1890-roasted-brussels-sprouts-with-garlic,,,
Brussels Sprout Frittata,https://food52.com/recipes/55450-brussel-sprout-frittata,,,
Roasted Acorn Squash,http://www.chowhound.com/recipes/basic-roasted-acorn-squash-27588,,,
Butternut Squash and Tangelo Dip with Sage,http://www.delish.com/cooking/recipe-ideas/recipes/a23519/butternut-squash-tangelo-dip-sage-recipe-fw1114/,,,
Butternut Squash Chili,http://juliasalbum.com/2014/10/butternut-squash-and-bean-chili-recipe/,,,
Butternut Squash Mac and Cheese,http://www.kitchenkonfidence.com/2015/10/butternut-squash-mac-and-cheese-recipe,,,
"Spinach\, Basil and Plum Salad",http://www.foodandwine.com/recipes/spinach-basil-and-plum-salad,,,
Caramelized Plum\-Ricotta\-Black Pepper Crostini,http://www.foodnetwork.com/recipes/bobby-flay/caramelized-plum-ricotta-black-pepper-crostini-recipe.html,,,
Cold Brew Plum Iced Tea,http://www.epicurious.com/recipes/food/views/cold-brew-plum-iced-tea,,,
Plum Compote,http://www.epicurious.com/recipes/food/views/santa-rosa-plum-compote-242999,,,
Balsamic Sauteed Mushrooms,http://www.food.com/recipe/balsamic-sauteed-mushrooms-296101,,,
"Wild Mushroom Pizza with Caramelized Onions\, Fontina and Rosemary",http://www.epicurious.com/recipes/food/views/wild-mushroom-pizza-with-caramelized-onions-fontina-and-rosemary-230633,,,
Mushroom Tacos with Onions and Garlic,http://www.rickbayless.com/recipe/soft-taco-filling-stewed-mushrooms-with-onions-and-garlic/,,,
Mushroom and Brown Rice Veggie Burger,http://www.epicurious.com/recipes/food/views/mushroom-and-brown-rice-veggie-burger-51238470,,,
Turkish Baked Stuffed Eggplant,http://www.seriouseats.com/2013/05/vegetarian-fainting-imam-turkish-eggplant.html,,,
Eggplant Parmigiana,http://www.foodnetwork.com/recipes/alexandra-guarnaschelli/eggplant-parmigiana-recipe.html,,,
How to Make Eggplant Noodles,http://www.thekitchn.com/how-to-make-eggplant-noodles-233532,,,
Simple Baba Ganoush,http://minimalistbaker.com/simple-baba-ganoush/,,,
Fresh Corn Salad,http://www.foodnetwork.com/recipes/ina-garten/fresh-corn-salad-recipe.html,,,
Corn Salsa,http://www.foodnetwork.com/recipes/food-network-kitchens/almost-famous-corn-salsa-recipe.html,,,
Corn Fritters,http://thepioneerwoman.com/cooking/corn-fritters/,,,
Sweet Honey Cornbread,http://www.fortheloveofcooking.net/2012/12/sweet-honey-cornbread.html,,,
Guacamole,http://allrecipes.com/recipe/14231/guacamole/,,,
Oven Fried Onion Rings,http://www.foodnetwork.com/recipes/jeff-mauro/oven-fried-onion-rings-recipe.html,,,
Vegetarian French Onion Soup,http://www.homesweetjones.com/best-vegetarian-french-onion-soup/,,,
How to Caramelize Onions,http://www.thekitchn.com/how-to-caramelize-onions-35933,,,
Mini Herbed Pommes Anna,http://www.epicurious.com/recipes/food/views/mini-herbed-pommes-anna-51123070,,,
How to Make Hasselback Potatoes,http://www.thekitchn.com/how-to-make-hasselback-potatoes-cooking-lessons-from-the-kitchn-199763,,,
Twice-Baked Potatoes,http://www.foodnetwork.com/recipes/ree-drummond/twice-baked-potatoes-recipe.html,,,
Potato Gnocchi Four Ways,http://cooking.nytimes.com/recipes/1014559-potato-gnocchi-four-ways,,,
How to Cut Carrots into Rounds,http://www.thekitchn.com/why-carrots-should-always-be-cut-into-rounds-not-sticks-tips-from-the-kitchn-215309,,,
French Grated Carrot Salad,http://cooking.nytimes.com/recipes/1014331-french-grated-carrot-salad,,,
Honey\-Roasted Carrots with Tahini Yogurt,http://www.epicurious.com/recipes/food/views/honey-roasted-carrots-with-tahini-yogurt-51254840,,,
Glazed Carrots,http://www.foodnetwork.com/recipes/damaris-phillips/glazed-carrots.html,,,
Shaved Asparagus Salad,http://www.chowhound.com/recipes/shaved-asparagus-salad-29532,,,
Roasted Asparagus,http://www.foodnetwork.com/recipes/ina-garten/roasted-asparagus-recipe.html,,,
Baked Asparagus Frittata,http://cookieandkate.com/2012/baked-asparagus-frittata/,,,
Asparagus Pesto,http://cooking.nytimes.com/recipes/1013141-asparagus-pesto,,,
